state,state_code,bill_id,bill_url,title,author,author_partisanship,topics,status,date_of_last_action,introduced_year_month,summary,history,text_len,word_count,definition_found,definition,PHCI,UR,BPPRIV,NAICS54_tech_employment,bill_year,state_partisanship
North Dakota,ND,ND H    1410,http://custom.statenet.com/public/resources.cgi?id=ID:bill:ND2025000H1410&ciq=urn:user:PA196471263&client_md=66870a206794f435d1545c3309a22da4&mode=current_text,Legislative Management Study,Schneider (D),Democrat,"Child Pornography, Studies",Enacted - Act No.  508,04/16/2025 - Enacted,2025-01,"Provides that, during the specified interim, the Legislative Management shall consider studying State laws relating to criminal conduct against children, child sexual abuse, child physical abuse, child neglect, and human trafficking of children, provides that the study must include a review of, among other things, the use of the term child sexually abusive material instead of the term sexual performance to describe child pornography or sexual conduct of a minor.","01/13/2025 - INTRODUCED.
01/13/2025 - To HOUSE Committee on JUDICIARY.
01/21/2025 - From HOUSE Committee on JUDICIARY:  Do pass as amended.
01/22/2025 - Committee amendment adopted on HOUSE floor.
01/24/2025 - Passed HOUSE.  *****To SENATE.
02/13/2025 - To SENATE Committee on JUDICIARY.
04/08/2025 - From SENATE Committee on JUDICIARY:  Do pass.
04/09/2025 - Passed SENATE.
04/09/2025 - Eligible for GOVERNOR'S desk.
04/15/2025 - *****To GOVERNOR.
04/16/2025 - Signed by GOVERNOR.
07/30/2025 - Chapter Number 508",1149,168,FALSE,NA,159.54,2.6,48,17.2,2025,Republican
North Dakota,ND,ND H    1429,http://custom.statenet.com/public/resources.cgi?id=ID:bill:ND2025000H1429&ciq=urn:user:PA196471263&client_md=40d187ee131251f76d62c68c69a5d4ab&mode=current_text,Harassment and Stalking with a Robot,Holle (R),Republican,Criminal Use,Enacted - Act No.  126,04/21/2025 - Enacted,2025-01,"Relates to harassment and stalking with a robot, provides a penalty, relates to an artificial object or system that senses, processes, and acts using technology, including the associated elements, communication links, and artificial intelligence.","01/13/2025 - INTRODUCED.
01/13/2025 - To HOUSE Committee on AGRICULTURE.
02/20/2025 - From HOUSE Committee on AGRICULTURE:  Do pass as amended.
02/21/2025 - Committee amendment adopted on HOUSE floor.
02/24/2025 - Passed HOUSE.  *****To SENATE.
03/07/2025 - To SENATE Committee on AGRICULTURE and VETERANS AFFAIRS.
04/01/2025 - From SENATE Committee on AGRICULTURE and VETERANS AFFAIRS:  Do pass as amended.
04/02/2025 - Committee amendment adopted on SENATE floor.
04/04/2025 - Passed SENATE.  *****To HOUSE for concurrence.
04/15/2025 - HOUSE concurred in SENATE amendments.
04/15/2025 - Eligible for GOVERNOR'S desk.
04/21/2025 - *****To GOVERNOR.
04/21/2025 - Signed by GOVERNOR.
07/30/2025 - Chapter Number 126",5647,916,TRUE,"an artificial object or system that senses, processes, and acts using technology, including the associated elements, communication links, and artificial intelligence.",159.54,2.6,48,17.2,2025,Republican
North Dakota,ND,ND H    1448,http://custom.statenet.com/public/resources.cgi?id=ID:bill:ND2025000H1448&ciq=urn:user:PA196471263&client_md=91cc277dd43c37c6951fdd5ff373f310&mode=current_text,Advanced Technology Review Committee,Christy (R),Republican,"Appropriations, Education Use, Education/Training, Government Use, Effect on Labor/Employment, Private Sector Use",Enacted - Act No.  551,05/01/2025 - Enacted,2025-01,"Relates to the advanced technology review committee, advanced technology grant program, and advanced technology grant fund, provides for a transfer, provides an appropriation.","01/15/2025 - INTRODUCED.
01/15/2025 - To HOUSE Committee on INDUSTRY, BUSINESS AND LABOR.
01/29/2025 - From HOUSE Committee on INDUSTRY, BUSINESS AND LABOR:  Do pass.
01/29/2025 - Rereferred to HOUSE Committee on APPROPRIATIONS.
02/24/2025 - From HOUSE Committee on APPROPRIATIONS:  Do pass as amended.
02/25/2025 - Committee amendment adopted on HOUSE floor.
02/25/2025 - Passed HOUSE.  *****To SENATE.
03/07/2025 - To SENATE Committee on INDUSTRY and BUSINESS.
04/03/2025 - From SENATE Committee on INDUSTRY and BUSINESS:  Do pass as amended.
04/03/2025 - Rereferred to SENATE Committee on APPROPRIATIONS.
04/04/2025 - Committee amendment adopted on SENATE floor.
04/04/2025 - Rereferred to SENATE Committee on APPROPRIATIONS.
04/10/2025 - From SENATE Committee on APPROPRIATIONS:  Do pass as amended.
04/11/2025 - Committee amendment adopted on SENATE floor.
04/11/2025 - Passed SENATE.  *****To HOUSE for concurrence.
04/18/2025 - HOUSE refused to concur in SENATE amendments.
04/18/2025 - *****To CONFERENCE Committee.
04/28/2025 - CONFERENCE Committee Report adopted by HOUSE.
04/28/2025 - CONFERENCE Committee Report rejected by SENATE.
04/29/2025 - CONFERENCE Committee Report adopted by SENATE.
04/29/2025 - Eligible for GOVERNOR'S desk.
04/29/2025 - *****To GOVERNOR.
05/01/2025 - Signed by GOVERNOR.
07/30/2025 - Chapter Number 551",7204,1080,FALSE,NA,159.54,2.6,48,17.2,2025,Republican
North Dakota,ND,ND H    1613,http://custom.statenet.com/public/resources.cgi?id=ID:bill:ND2025000H1613&ciq=urn:user:PA196471263&client_md=08c12ded3a18947f555f6bee23c8b0ce&mode=current_text,Law Enforcement Use of a Drone or Robot,Hendrix (R),Republican,Government Use,Enacted - Act No.  317,04/28/2025 - Enacted,2025-01,"Relates to law enforcement use of a robot, provides that a law enforcement agency may not authorize the use of a robot to deploy a lethal weapon, unless the weapon is controlled remotely, cannot be activated autonomously, and is used to neutralize an inanimate object at risk of exploding or causing an immediate threat to public safety or property, among other things.","01/20/2025 - INTRODUCED.
01/20/2025 - To HOUSE Committee on JUDICIARY.
02/10/2025 - From HOUSE Committee on JUDICIARY:  Do pass as amended.
02/11/2025 - Committee amendment adopted on HOUSE floor.
02/12/2025 - Passed HOUSE.  *****To SENATE.
02/17/2025 - To SENATE Committee on JUDICIARY.
04/10/2025 - From SENATE Committee on JUDICIARY:  Do pass as amended.
04/11/2025 - Committee amendment adopted on SENATE floor.
04/11/2025 - Passed SENATE.  *****To HOUSE for concurrence.
04/21/2025 - HOUSE concurred in SENATE amendments.
04/21/2025 - Eligible for GOVERNOR'S desk.
04/25/2025 - *****To GOVERNOR.
04/28/2025 - Signed by GOVERNOR.
07/30/2025 - Chapter Number 317",9637,1517,FALSE,NA,159.54,2.6,48,17.2,2025,Republican
North Dakota,ND,ND S    2186,http://custom.statenet.com/public/resources.cgi?id=ID:bill:ND2025000S2186&ciq=urn:user:PA196471263&client_md=f5ab1456c8d3095d9d3307a19ce38bf6&mode=current_text,Removal or Withholding of a Child,Clemens (R),Republican,"Judicial Use, Studies",Enacted - Act No.  147,04/22/2025 - Enacted,2025-01,"Relates to interference with court-ordered parenting time, creates a child custody review task force, provides for a legislative management report, provides a penalty.","01/13/2025 - INTRODUCED.
01/13/2025 - To SENATE Committee on JUDICIARY.
01/28/2025 - From SENATE Committee on JUDICIARY:  Do pass as amended.
01/29/2025 - Committee amendment adopted on SENATE floor.
01/30/2025 - Passed SENATE.  *****To HOUSE.
02/18/2025 - To HOUSE Committee on JUDICIARY.
04/02/2025 - From HOUSE Committee on JUDICIARY:  Do pass as amended.
04/03/2025 - Committee amendment adopted on HOUSE floor.
04/08/2025 - Passed HOUSE.  *****To SENATE for concurrence.
04/16/2025 - SENATE concurred in HOUSE amendments.
04/16/2025 - Eligible for GOVERNOR'S desk.
04/21/2025 - *****To GOVERNOR.
04/22/2025 - Signed by GOVERNOR.
07/30/2025 - Chapter Number 147",4598,748,FALSE,NA,159.54,2.6,48,17.2,2025,Republican
North Dakota,ND,ND S    2256,http://custom.statenet.com/public/resources.cgi?id=ID:bill:ND2025000S2256&ciq=urn:user:PA196471263&client_md=82305e86b347db136665480e9aea22e2&mode=current_text,Research Technology Park Fund,Sorvaag (R),Republican,"Appropriations, Education Use, Education/Training, Effect on Labor/Employment, Private Sector Use",Enacted - Act No.  487,05/05/2025 - Enacted,2025-01,"Relates to a research technology park fund, provides a continuing appropriation, provides a transfer, provides a report.","01/20/2025 - INTRODUCED.
01/20/2025 - To SENATE Committee on EDUCATION.
01/23/2025 - Withdrawn from SENATE Committee on EDUCATION.
01/23/2025 - Rereferred to SENATE Committee on WORKFORCE DEVELOPMENT.
02/06/2025 - From SENATE Committee on WORKFORCE DEVELOPMENT:  Do pass.
02/06/2025 - Rereferred to SENATE Committee on APPROPRIATIONS.
02/18/2025 - From SENATE Committee on APPROPRIATIONS:  Do pass as amended.
02/19/2025 - Committee amendment adopted on SENATE floor.
02/19/2025 - Passed SENATE.  *****To HOUSE.
02/21/2025 - To HOUSE Committee on GOVERNMENT AND VETERAN AFFAIRS.
03/31/2025 - From HOUSE Committee on GOVERNMENT AND VETERAN AFFAIRS:  Do pass as amended.
03/31/2025 - Rereferred to HOUSE Committee on APPROPRIATIONS.
04/01/2025 - Committee amendment adopted on HOUSE floor.
04/01/2025 - Rereferred to HOUSE Committee on APPROPRIATIONS.
04/16/2025 - From HOUSE Committee on APPROPRIATIONS:  Do pass as amended.
04/17/2025 - Committee amendment adopted on HOUSE floor.
04/17/2025 - Passed HOUSE.  *****To SENATE for concurrence.
04/23/2025 - SENATE refused to concur in HOUSE amendments.
04/23/2025 - *****To CONFERENCE Committee.
05/02/2025 - CONFERENCE Committee Report adopted by HOUSE.
05/02/2025 - CONFERENCE Committee Report adopted by SENATE.
05/02/2025 - Eligible for GOVERNOR'S desk.
05/02/2025 - *****To GOVERNOR.
05/05/2025 - Signed by GOVERNOR.
07/30/2025 - Chapter Number 487",3479,507,FALSE,NA,159.54,2.6,48,17.2,2025,Republican
North Dakota,ND,ND S    2278,http://custom.statenet.com/public/resources.cgi?id=ID:bill:ND2025000S2278&ciq=urn:user:PA196471263&client_md=391487233fe4f8479ab8e6941714c882&mode=current_text,Legislative Management Study,Boehm (R),Republican,"Government Use, Studies",Enacted - Act No.  522,03/28/2025 - Enacted,2025-01,Provides a legislative management study relating to the retention of library materials.,"01/20/2025 - INTRODUCED.
01/20/2025 - To SENATE Committee on EDUCATION.
01/28/2025 - From SENATE Committee on EDUCATION:  Do pass as amended.
01/29/2025 - Committee amendment adopted on SENATE floor.
01/30/2025 - Passed SENATE.  *****To HOUSE.
02/18/2025 - To HOUSE Committee on EDUCATION.
03/19/2025 - From HOUSE Committee on EDUCATION:  Do pass.
03/24/2025 - Passed HOUSE.
03/24/2025 - Eligible for GOVERNOR'S desk.
03/27/2025 - *****To GOVERNOR.
03/28/2025 - Signed by GOVERNOR.
07/30/2025 - Chapter Number 522",1212,174,FALSE,NA,159.54,2.6,48,17.2,2025,Republican
Nebraska,NE,NE L    172,http://custom.statenet.com/public/resources.cgi?id=ID:bill:NE2025000L172&ciq=urn:user:PA196471263&client_md=8960b722481705a8d4d7c62afcc4df49&mode=current_text,Computer-Generated Child Pornography,Hardin (NP),NA,"Child Pornography, Criminal Use",Pending - Carryover - Judiciary Committee,45670,2025-01,Prohibits conduct involving computer-generated child pornography.,"01/13/2025 - INTRODUCED.
01/15/2025 - To LEGISLATIVE Committee on JUDICIARY.
01/28/2025 - Notice of hearing for February 06, 2025.
08/27/2025 - First Session Adjourned - Carried Over to Second Regular Session.",82187,13189,TRUE,"Computer-generated, with respect to a visual depiction, means that a visual depiction has been created, adapted, or modified by using a computer, digital program or process, artificial intelligence, or any similar device or means;",152.02,2.9,876,49.7,2025,N/A
Nebraska,NE,NE L    371,http://custom.statenet.com/public/resources.cgi?id=ID:bill:NE2025000L371&ciq=urn:user:PA196471263&client_md=681b61438626514844a29910ef68366d&mode=current_text,Unauthorized Disclosure of Intimate Images Act,DeBoer (NP),NA,NA,Enacted - Signed by Governor,05/30/2025 - Enacted,2025-01,"Relates to the Uniform Civil Remedies for Unauthorized Disclosure of Intimate Images Act, redefine terms, provides liability for images created by computer generation or digital manipulation.","01/16/2025 - INTRODUCED.
01/21/2025 - To LEGISLATIVE Committee on JUDICIARY.
01/28/2025 - Notice of hearing for February 06, 2025.
02/27/2025 - From LEGISLATIVE Committee on JUDICIARY:  Placed on General File.
05/09/2025 - Advanced to Enrollment and Review Initial.
05/13/2025 - Placed on SELECT FILE.
05/15/2025 - Advanced to Enrollment and Review for Engrossment.
05/19/2025 - Placed on FINAL READING.
05/28/2025 - Passed on FINAL READING.
05/28/2025 - Passed LEGISLATURE.
05/28/2025 - *****To GOVERNOR.
05/30/2025 - Signed by GOVERNOR.",3770,576,FALSE,NA,152.02,2.9,876,49.7,2025,N/A
Nebraska,NE,NE L    383,http://custom.statenet.com/public/resources.cgi?id=ID:bill:NE2025000L383&ciq=urn:user:PA196471263&client_md=4f85039baad3082154e1b2951bda563e&mode=current_text,Child Sexual Abuse Material,Storer (NP),NA,"Child Pornography, Criminal Use",Enacted - Signed by Governor,05/20/2025 - Enacted,2025-01,"Adopts the Parental Rights in Social Media Act, renames the Child Pornography Prevention Act to the Child Sexual Abuse Material Prevention Act, prohibits conduct involving computer generated child pornography, prohibits receipt of child pornography, provides enhanced penalties, provides that it shall be unlawful for a person of a specified age or older to knowingly possess or receive any child sexual abuse material, provides that a social media company shall not permit a minor to become an account holder.","01/17/2025 - INTRODUCED.
01/22/2025 - To LEGISLATIVE Committee on JUDICIARY.
01/28/2025 - Notice of hearing for February 06, 2025.
04/08/2025 - From LEGISLATIVE Committee on JUDICIARY:  Placed on General File as amended.
04/11/2025 - Committee Amendment adopted on LEGISLATIVE floor. AMENDMENT: AM1010
04/11/2025 - Committee Amendment adopted on LEGISLATIVE floor. AMENDMENT: AM1009
04/11/2025 - Amended on LEGISLATIVE floor. AMENDMENT: AM1016
04/11/2025 - Advanced to Enrollment and Review Initial.
04/22/2025 - Placed on SELECT FILE as amended.
04/30/2025 - From SELECT FILE:  Do pass as amended. AMENDMENT: ER53
04/30/2025 - Amended on LEGISLATIVE floor. AMENDMENT: AM1180
04/30/2025 - Advanced to Enrollment and Review for Engrossment.
05/06/2025 - Placed on FINAL READING.
05/14/2025 - Passed on FINAL READING.
05/14/2025 - Passed LEGISLATURE.
05/14/2025 - *****To GOVERNOR.
05/20/2025 - Signed by GOVERNOR.",114731,18520,FALSE,NA,152.02,2.9,876,49.7,2025,N/A
Nebraska,NE,NE L    504,http://custom.statenet.com/public/resources.cgi?id=ID:bill:NE2025000L504&ciq=urn:user:PA196471263&client_md=29ec35ca64a79a937c60118702d9ad2d&mode=current_text,Age-Appropriate Online Design Code Act,Bosn (R),Republican,Private Sector Use,Enacted - Signed by Governor,05/30/2025 - Enacted,2025-01,"Adopts the Age-appropriate Online Design Code Act, provides definitions, provides that a covered online service's classification of an individual for purposes of marketing or advertising is inconsistent with the individual's self-identified age, a covered online service shall disregard self-identified age for purposes of the act.","01/21/2025 - INTRODUCED.
01/23/2025 - To LEGISLATIVE Committee on BANKING, COMMERCE, AND INSURANCE.
01/27/2025 - Notice of hearing for February 03, 2025.
02/07/2025 - From LEGISLATIVE Committee on BANKING, COMMERCE, AND INSURANCE:  Placed on General File as amended.
02/25/2025 - Committee Amendment adopted on LEGISLATIVE floor. AMENDMENT: AM169
02/26/2025 - Advanced to Enrollment and Review Initial.
03/04/2025 - Placed on SELECT FILE as amended.
04/08/2025 - From SELECT FILE:  Do pass as amended. AMENDMENT: ER21
04/09/2025 - Amended on LEGISLATIVE floor. AMENDMENT: AM856
04/09/2025 - Advanced to Enrollment and Review for Engrossment.
04/11/2025 - Placed on FINAL READING.
05/28/2025 - Passed on FINAL READING.
05/28/2025 - Passed LEGISLATURE.
05/28/2025 - *****To GOVERNOR.
05/30/2025 - Signed by GOVERNOR.",16338,2609,FALSE,NA,152.02,2.9,876,49.7,2025,N/A
Nebraska,NE,NE L    615,http://custom.statenet.com/public/resources.cgi?id=ID:bill:NE2025000L615&ciq=urn:user:PA196471263&client_md=dceca8afc1f76c1001dc7aad66f4cf91&mode=current_text,Political Accountability and Disclosure Act,Cavanaugh J (NP),NA,"Elections, Provenance","Pending - Carryover - Government, Military and Veterans Affairs Committee",45679,2025-01,Prohibits distributing deepfakes under the Nebraska Political Accountability and Disclosure Act.,"01/22/2025 - INTRODUCED.
01/24/2025 - To LEGISLATIVE Committee on GOVERNMENT, MILITARY AND VETERANS AFFAIRS.
03/10/2025 - Notice of hearing for March 19, 2025.
08/27/2025 - First Session Adjourned - Carried Over to Second Regular Session.",4920,783,TRUE,"an image, an audio recording, or a video recording of an individual's appearance, speech, or conduct that has been created or intentionally manipulated with the use of generative adversarial network techniques or other digital technology in a manner to create a realistic but false image, audio, or video.",152.02,2.9,876,49.7,2025,N/A
Nebraska,NE,NE L    642,http://custom.statenet.com/public/resources.cgi?id=ID:bill:NE2025000L642&ciq=urn:user:PA196471263&client_md=c956f92582a6f2e054c49e13497d235c&mode=current_text,Artificial Intelligence Consumer Protection Act,Bostar (NP),NA,"Audit, Health Use, Impact Assessment, Private Sector Use, Responsible Use",Pending - Carryover - Judiciary Committee,45679,2025-01,Adopts the Artificial Intelligence Consumer Protection Act.,"01/22/2025 - INTRODUCED.
01/24/2025 - To LEGISLATIVE Committee on JUDICIARY.
01/28/2025 - Notice of hearing for February 06, 2025.
08/27/2025 - First Session Adjourned - Carried Over to Second Regular Session.",37646,5644,TRUE,"any machine-based system that, for any explicit or implicit objective, infers from the inputs the system receives how to generate outputs, including content, decisions, predictions, or recommendations, that can influence physical or virtual environments;",152.02,2.9,876,49.7,2025,N/A
Nebraska,NE,NE L    77,http://custom.statenet.com/public/resources.cgi?id=ID:bill:NE2025000L77&ciq=urn:user:PA196471263&client_md=5831a076ceddcac5072b0a69a196a3c9&mode=current_text,Ensuring Transparency in Prior Authorization Act,Bostar (NP),NA,"Government Use, Health Use, Notification, Private Sector Use",Enacted - Signed by Governor,06/04/2025 - Enacted,2025-01,"Relates to insurance, adopts the Ensuring Transparency in Prior Authorization Act, provides for insurance and Medicaid coverage of biomarker testing as prescribed, provides operative dates, provides severability.","01/09/2025 - INTRODUCED.
01/13/2025 - To LEGISLATIVE Committee on BANKING, COMMERCE, AND INSURANCE.
01/27/2025 - Notice of hearing for February 10, 2025.
04/28/2025 - From LEGISLATIVE Committee on BANKING, COMMERCE, AND INSURANCE:  Placed on General File as amended.
05/09/2025 - Amended on LEGISLATIVE floor. AMENDMENT: AM1261
05/09/2025 - Committee Amendment adopted on LEGISLATIVE floor. AMENDMENT: AM1187
05/09/2025 - Advanced to Enrollment and Review Initial.
05/14/2025 - Placed on SELECT FILE as amended.
05/21/2025 - From SELECT FILE:  Do pass as amended. AMENDMENT: ER86
05/21/2025 - Advanced to Enrollment and Review for Engrossment.
05/27/2025 - Placed on FINAL READING.
05/30/2025 - Passed on FINAL READING.
05/30/2025 - Passed LEGISLATURE.
05/30/2025 - *****To GOVERNOR.
06/04/2025 - Signed by GOVERNOR.",24552,3727,FALSE,NA,152.02,2.9,876,49.7,2025,N/A
New Hampshire,NH,NH H    143,http://custom.statenet.com/public/resources.cgi?id=ID:bill:NH2025000H143&ciq=urn:user:PA196471263&client_md=ee5b9eb07517afbbd02fbd5bf290eb25&mode=current_text,Responsive Generative Communication to a Child,Harvey-Bolia (R),Republican,Private Sector Use,Enacted - Act No.  270,08/01/2025 - Enacted,2025-01,"Criminalizes and creates a private right of action for the facilitation, encouragement, offer, solicitation, or recommendation of certain acts or actions through a responsive generative communication to a child, including, among other things, engaging in sexually explicit conduct and acts of self harm or suicide, relates to owners or operators of computer online services, Internet services or bulletin board services, including artificial intelligence chat programs, provides for owner and operator liability.","01/06/2025 - PREFILED.
01/06/2025 - Filed as LSR 332.
01/08/2025 - Introduced.
01/08/2025 - To HOUSE Committee on CRIMINAL JUSTICE AND PUBLIC SAFETY.
01/15/2025 - Public Hearing: 01/24/2025.
01/15/2025 - CANCELLED Public Hearing.
01/16/2025 - Public Hearing: 01/24/2025.
02/12/2025 - Executive Session: 02/21/2025.
02/26/2025 - From HOUSE Committee on CRIMINAL JUSTICE AND PUBLIC SAFETY:  Majority reported ought to pass with amendment.
02/26/2025 - From HOUSE Committee on CRIMINAL JUSTICE AND PUBLIC SAFETY: Minority reported ought not to pass.
03/06/2025 - Committee amendment adopted on HOUSE floor.
03/06/2025 - Amended on HOUSE floor.
03/06/2025 - Passed HOUSE.  *****To SENATE.
03/06/2025 - To SENATE Committee on JUDICIARY.
05/12/2025 - Hearing: 05/15/2025.
05/20/2025 - From HOUSE Committee on JUDICIARY:  Ought to pass.
06/05/2025 - Amended on SENATE floor.
06/05/2025 - Reconsidered by SENATE.
06/05/2025 - Passed SENATE.  *****To HOUSE for concurrence.
06/05/2025 - Amended on SENATE floor.
06/10/2025 - HOUSE refused to concur in SENATE amendments.
06/10/2025 - *****To CONFERENCE Committee.
06/11/2025 - SENATE accedes to HOUSE request for CONFERENCE Committee.
06/18/2025 - Committee of Conference Meeting: 06/18/2025.
06/19/2025 - CONFERENCE Committee Report filed.
06/26/2025 - CONFERENCE Committee Report adopted by SENATE.
06/26/2025 - CONFERENCE Committee Report adopted by HOUSE.
06/26/2025 - Passed SENATE.
07/14/2025 - Enrolled Bill Amendment.
07/18/2025 - Ordered Enrolled.
08/01/2025 - Signed by GOVERNOR.
08/01/2025 - Chapter No. 270",4711,743,TRUE,"For the purposes of prosecution under this section, an owner or operator of a computer online service, Internet service, or bulletin board service, including a provider of an artificial intelligence (AI) chat program, large language model artificial intelligence bot, chat bot, character AI, or other computer application, the sole purpose of which is to provide responsive open-ended generative communication through the use of artificial intelligence,",173.96,2.9,270,49.7,2025,Republican
New Hampshire,NH,NH H    558,http://custom.statenet.com/public/resources.cgi?id=ID:bill:NH2025000H558&ciq=urn:user:PA196471263&client_md=782066d6a9a23bad805138bf44eeddfe&mode=current_text,Monthly Rent Charged by Landlords,Read (D),Democrat,"Housing, Private Sector Use",Failed - Died,45671,2025-01,"Creates a public county registry of the monthly rent charged by landlords for each owned unit, prohibits landlords from using algorithms or software to determine rental rates, requires an affidavit attesting to compliance.","01/14/2025 - Introduced.
01/14/2025 - Filed as LSR 837
01/14/2025 - To HOUSE Committee on HOUSING.
01/22/2025 - Public Hearing: 01/28/2025.
02/14/2025 - Executive Session: 01/28/2025.
02/14/2025 - From HOUSE Committee on HOUSING:  Majority reported ought not to pass.
02/14/2025 - From HOUSE Committee on HOUSING:  Minority reported ought to pass.
03/20/2025 - Failed to pass HOUSE.",1437,241,FALSE,NA,173.96,2.9,270,49.7,2025,Republican
New Hampshire,NH,NH H    630,http://custom.statenet.com/public/resources.cgi?id=ID:bill:NH2025000H630&ciq=urn:user:PA196471263&client_md=6def27dfd269c4b5a0fab109b73f8d59&mode=current_text,Deepfake Materials of Political Candidates,Cormen (D),Democrat,"Elections, Provenance",Failed - Died,45673,2025-01,"Prevents the dissemination of deepfake materials of political candidates, provides that, with certain exceptions, a person, corporation, committee, or other entity shall not, within a specified number of days of an election at which a candidate for elective office will appear on the ballot, distribute a deepfake created using synthetic media technology that the person, corporation, committee or other entity knows or should have known is a deepfake of a candidate, election official, or party on the ballot.","01/16/2025 - Introduced.
01/16/2025 - Filed as LSR 638
01/16/2025 - To HOUSE Committee on ELECTION LAW.
01/22/2025 - Public Hearing: 01/28/2025.
01/29/2025 - Executive Session: 02/04/2025.
02/06/2025 - From HOUSE Committee on ELECTION LAW:  Majority reported ought not to pass.
02/06/2025 - From HOUSE Committee on ELECTION LAW:  Minority reported ought to pass.
03/20/2025 - Failed to pass HOUSE.",6156,988,TRUE,Artificial intelligence,173.96,2.9,270,49.7,2025,Republican
New Hampshire,NH,NH S    263,http://custom.statenet.com/public/resources.cgi?id=ID:bill:NH2025000S263&ciq=urn:user:PA196471263&client_md=25e74ea410c3f0427fad13801cb0d429&mode=current_text,Responsive Generative Communication,Senator Sharon Carson,NA,"Private Sector Use, Private Right of Action",Pending - Concurrence,45813,2025-01,"Criminalizes and creates a private right of action for the facilitation, encouragement, offer, solicitation, or recommendation of certain acts or actions through a responsive generative communication to a child.","01/09/2025 - Introduced.
01/23/2025 - Filed as LSR 1152.
01/23/2025 - To SENATE Committee on JUDICIARY.
02/26/2025 - Hearing: 03/04/2025.
03/13/2025 - From SENATE Committee on JUDICIARY:  Ought to pass with amendment.
03/20/2025 - Committee amendment adopted on SENATE floor.
03/20/2025 - Passed SENATE.  *****To HOUSE.
03/28/2025 - To HOUSE Committee on JUDICIARY.
04/03/2025 - Public Hearing: 04/09/2025.
04/16/2025 - Executive Session: 04/23/2025.
04/30/2025 - From HOUSE Committee on JUDICIARY:  Ought to pass with amendment.
05/08/2025 - Committee amendment adopted on HOUSE floor.
05/08/2025 - Committee report adopted on HOUSE floor.
05/08/2025 - To HOUSE Committee on CRIMINAL JUSTICE AND PUBLIC SAFETY.
05/14/2025 - Public Hearing: 05/23/2025.
05/14/2025 - Executive Session: 05/23/2025.
05/28/2025 - From HOUSE Committee on CRIMINAL JUSTICE AND PUBLIC SAFETY:  Majority reported ought to pass.
05/28/2025 - From HOUSE Committee on CRIMINAL JUSTICE AND PUBLIC SAFETY: Minority reported ought not to pass.
06/05/2025 - Amended on HOUSE floor.
06/05/2025 - HOUSE floor amendment failed.
06/05/2025 - Passed SENATE.  *****To HOUSE for concurrence.
06/12/2025 - SENATE refused to concur in HOUSE amendments.",5317,858,TRUE,"For the purposes of prosecution under this section, an owner or operator of a computer online service, Internet service, or bulletin board service, including a provider of an artificial intelligence (AI) chat program, large language model artificial intelligence bot, chat bot, character AI, or other computer application, the sole purpose of which is to provide responsive open-ended generative communication through the use of artificial intelligence,",173.96,2.9,270,49.7,2025,Republican
New Hampshire,NH,NH S    300,http://custom.statenet.com/public/resources.cgi?id=ID:bill:NH2025000S300&ciq=urn:user:PA196471263&client_md=fabbeff6dee93cd9ae64f34d916aa2c2&mode=current_text,Child Intimate Visual Representations,Senator Daniel Innis,NA,NA,Enacted - Act No.  259,07/15/2025 - Enacted,2025-02,"Makes it a class B felony and a tier II registrable offense for a person to knowingly create, produce, manufacture or direct an intimate visual representation of a child for prurient purposes, provides that no person shall knowingly create, produce, manufacture, or direct an intimate visual representation of a child for prurient purposes when that child is identifiable from the representation or information displayed in connection with the representation, provides for the registration of criminal offenders.","02/13/2025 - Introduced.
02/13/2025 - Filed as LSR 1164
02/13/2025 - To SENATE Committee on JUDICIARY.
02/26/2025 - Hearing: 03/04/2025.
03/07/2025 - From SENATE Committee on JUDICIARY:  Ought to pass.
03/13/2025 - Committee report adopted on SENATE floor.
03/13/2025 - To SENATE Committee on FINANCE.
03/18/2025 - From SENATE Committee on FINANCE:  Ought to pass.
03/27/2025 - Passed SENATE.  *****To HOUSE.
03/28/2025 - To HOUSE Committee on CRIMINAL JUSTICE AND PUBLIC SAFETY.
04/01/2025 - Public Hearing: 04/11/2025.
04/14/2025 - Executive Session RECESSED: 04/23/2025.
04/14/2025 - Continued Executive Session: 04/25/2025.
04/30/2025 - Continued Executive Session: 05/09/2025.
05/15/2025 - From HOUSE Committee on CRIMINAL JUSTICE AND PUBLIC SAFETY:  Ought to pass with amendment.
06/05/2025 - Committee amendment adopted on HOUSE floor.
06/05/2025 - Passed HOUSE.  *****To SENATE for concurrence.
06/12/2025 - SENATE concurred in HOUSE amendments.
07/08/2025 - Ordered Enrolled.
07/15/2025 - Signed by GOVERNOR.
07/15/2025 - Chapter No. 259",2986,457,FALSE,NA,174.03,3,205,50,2025,Republican
New Jersey,NJ,NJ A    1604,http://custom.statenet.com/public/resources.cgi?id=ID:bill:NJ2024000A1604&ciq=urn:user:PA196471263&client_md=ce6553cf8257e13e5aac573816caf62f&mode=current_text,Intentionally Deceptive Media Disclosures,Lampitt (D),Democrat,NA,"Pending - Assembly Science, Innovation and Technology Committee",45300,2024-01,Requires certain disclosures of intentionally deceptive audio or visual media.,"01/09/2024 - FILED.
01/09/2024 - INTRODUCED.
01/09/2024 - To ASSEMBLY Committee on SCIENCE, INNOVATION AND TECHNOLOGY.",9986,1582,FALSE,NA,139.57,4.4,3199,339.8,2024,Democrat
